Iterazione,Tempo,,Iterazione,Tempo,,Iterazione,Tempo,,Iterazione,Tempo,,Iterazione,Tempo
1,0.46,,1,0.39,,1,0.42,,1,0.38,,1,1.56
2,0.08,,2,0.09,,2,0.09,,2,0.08,,2,0.36
3,0.06,,3,0.08,,3,0.07,,3,0.1,,3,0.31
4,0.06,,4,0.09,,4,0.06,,4,0.06,,4,0.29
5,0.07,,5,0.06,,5,0.06,,5,0.05,,5,0.31
6,0.05,,6,0.05,,6,0.06,,6,0.05,,6,0.34
7,0.05,,7,0.05,,7,0.07,,7,0.05,,7,0.25
8,0.05,,8,0.05,,8,0.07,,8,0.08,,8,0.33
9,0.05,,9,0.05,,9,0.05,,9,0.05,,9,0.28
10,0.05,,10,0.05,,10,0.05,,10,0.05,,10,0.3
11,0.07,,11,0.05,,11,0.05,,11,0.05,,11,0.28
12,0.06,,12,0.05,,12,0.05,,12,0.05,,12,0.27
13,0.05,,13,0.05,,13,0.05,,13,0.05,,13,0.27
14,0.05,,14,0.05,,14,0.05,,14,0.04,,14,0.27
15,0.05,,15,0.05,,15,0.05,,15,0.05,,15,0.27
16,0.05,,16,0.05,,16,0.05,,16,0.04,,16,0.27
17,0.05,,17,0.05,,17,0.05,,17,0.04,,17,0.27
18,0.05,,18,0.05,,18,0.05,,18,0.04,,18,0.27
19,0.05,,19,0.05,,19,0.05,,19,0.05,,19,0.27
20,0.05,,20,0.05,,20,0.05,,20,0.05,,20,0.32
21,0.05,,21,0.05,,21,0.05,,21,0.04,,21,0.25
22,0.05,,22,0.05,,22,0.05,,22,0.04,,22,0.23
23,0.05,,23,0.05,,23,0.05,,23,0.05,,23,0.23
24,0.05,,24,0.05,,24,0.05,,24,0.05,,24,0.28
25,0.05,,25,0.05,,25,0.05,,25,0.05,,25,0.32
26,0.05,,26,0.05,,26,0.05,,26,0.04,,26,0.32
27,0.05,,27,0.05,,27,0.05,,27,0.04,,27,0.31
28,0.05,,28,0.05,,28,0.06,,28,0.04,,28,0.5
29,0.05,,29,0.05,,29,0.05,,29,0.04,,29,0.32
30,0.05,,30,0.05,,30,0.05,,30,0.04,,30,0.32
31,0.05,,31,0.05,,31,0.05,,31,0.04,,31,0.34
,,,,,,,,,,,,,
,Q1,,,Q2,,,Q3,,,Q4,,,Q5
